コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日,総資産（百万）,売上高（百万）
8919,株式会社カチタス,カブシキカイシャカチタス,"KATITAS Co., Ltd.",カチタス,桐生市美原町４番２号,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,55520,97735
8920,株式会社　東　祥,カブシキガイシャ　トウショウ,"TOSHO CO., LTD.",東祥,安城市三河安城町一丁目１６番地５,有,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,3月31日,77100,17625
8923,トーセイ株式会社,トーセイカブシキガイシャ,TOSEI CORPORATION,トーセイ,港区芝浦四丁目５番４号,有,プライム（内国株式）,8050,不動産業,17,不動産,11月30日,195010,61726
8925,株式会社アルデプロ,カブシキガイシャアルデプロ,"ARDEPRO Co.,Ltd.",アルデプロ,新宿区新宿三丁目１番２４号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,7月31日,12635,18286
8927,株式会社明豊エンタープライズ,カブシキガイシャメイホウエンタープライズ,"MEIHO ENTERPRISE CO.,LTD.",明豊エンタープライズ,目黒区目黒二丁目１０番１１号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,7月31日,11607,10181
8928,穴吹興産株式会社,アナブキコウサンカブシキカイシャ,ANABUKI KOSAN INC.,穴吹興産,高松市鍛冶屋町７番地１２,有,スタンダード（内国株式）,8050,不動産業,17,不動産,6月30日,114371,104750
8929,株式会社青山財産ネットワークス,カブシキガイシャアオヤマザイサンネットワークス,"Aoyama Zaisan Networks Company,Limited",青山財産ネットワークス,港区赤坂八丁目４番１４号青山タワープレイス３階,有,スタンダード（内国株式）,8050,不動産業,17,不動産,12月31日,17426,24213
8931,和田興産株式会社,ワダコウサンカブシキガイシャ,WADAKOHSAN CORPORATION,和田興産,神戸市中央区栄町通四丁目２番１３号,無,スタンダード（内国株式）,8050,不動産業,17,不動産,2月末日,92335,39806
8934,サンフロンティア不動産株式会社,サンフロンティアフドウサンカブシキガイシャ,"Sun Frontier Fudousan Co.,Ltd.",サンフロンティア不動産,千代田区有楽町一丁目２番２号,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,127485,59632
8935,株式会社ＦＪネクストホールディングス,カブシキガイシャエフジェーネクストホールディングス,"FJ NEXT HOLDINGS CO., LTD.",ＦＪネクストホールディングス,新宿区西新宿六丁目５番１号,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,84375,72988
8938,グローム・ホールディングス株式会社,グロームホールディングスカブシキガイシャ,"GLOME Holdings, Inc.",グローム・ホールディングス,港区赤坂一丁目１２番３２号,有,グロース（内国株式）,8050,不動産業,17,不動産,3月31日,8303,3968
8940,株式会社インテリックス,カブシキガイシャ　インテリックス,"INTELLEX Co.,Ltd.",インテリックス,渋谷区渋谷二丁目１２番１９号,有,プライム（内国株式）,8050,不動産業,17,不動産,5月31日,36296,41074
8944,株式会社ランドビジネス,カブシキガイシャランドビジネス,LAND BUSINESS,ランドビジネス,千代田区霞が関三丁目２番５号霞が関ビルディング,無,スタンダード（内国株式）,8050,不動産業,17,不動産,9月30日,53594,4588
8945,サンネクスタグループ株式会社,サンネクスタグループカブシキガイシャ,SUNNEXTA GROUP Inc.,サンネクスタグループ,新宿区箪笥町３５番地,有,プライム（内国株式）,8050,不動産業,17,不動産,6月30日,12975,8519
8946,株式会社ＡＳＩＡＮ　ＳＴＡＲ,カブシキガイシャエイシアンスター,ASIAN STAR CO.,ＡＳＩＡＮ　ＳＴＡＲ,横浜市西区高島二丁目６番３２号,有,スタンダード（内国株式）,8050,不動産業,17,不動産,12月31日,3062,2543
